date,retail_index,flags,year,month,month_name,quarter,day_of_week,rolling_12m_avg,ema_12m,yoy_growth_pct,mom_growth_pct
2001-07-01,87.4,,2001,7,July,3,Sunday,88.23333333333333,87.46206571424206,2.2222222222222365,3.677342823250296
2001-08-01,84.0,,2001,8,August,3,Wednesday,88.34166666666665,86.92944021974327,1.5719467956469169,-3.8901601830663712
2001-09-01,86.2,,2001,9,September,3,Saturday,88.45833333333333,86.81721864747507,1.650943396226423,2.619047619047632
2001-10-01,89.6,,2001,10,October,4,Monday,88.40833333333332,87.24533885555584,-0.6651884700665245,3.944315545243615
2001-11-01,94.3,,2001,11,November,4,Thursday,88.52499999999999,88.33067133931648,1.5069967707211918,5.245535714285721
2001-12-01,108.1,,2001,12,December,4,Saturday,88.425,91.37210651788318,-1.0978956999085132,14.634146341463406
2002-01-01,79.1,,2002,1,January,1,Tuesday,88.15833333333335,89.48409013051653,-3.888213851761846,-26.827012025901944
2002-02-01,75.8,,2002,2,February,1,Friday,88.03333333333335,87.37884549505245,-1.9404915912031084,-4.171934260429833
2002-03-01,88.3,,2002,3,March,1,Friday,87.85833333333333,87.52056157273668,-2.3230088495575285,16.490765171503963
2002-04-01,87.7,,2002,4,April,2,Monday,87.8,87.54816748462335,-0.7918552036199178,-0.6795016987542368
2002-05-01,86.7,,2002,5,May,2,Wednesday,87.625,87.41768017929668,-2.3648648648648574,-1.1402508551881407
2002-06-01,81.5,,2002,6,June,2,Saturday,87.39166666666667,86.50726784402026,-3.3214709371293005,-5.997693194925036
2002-07-01,85.7,,2002,7,July,3,Monday,87.25,86.38307279109407,-1.94508009153318,5.153374233128827
2002-08-01,82.3,,2002,8,August,3,Thursday,87.10833333333333,85.75490774631035,-2.023809523809528,-3.967327887981331
2002-09-01,85.4,,2002,9,September,3,Sunday,87.04166666666667,85.7003065545703,-0.9280742459396696,3.76670716889429
2002-10-01,90.1,,2002,10,October,4,Tuesday,87.08333333333333,86.37718246925179,0.5580357142857206,5.503512880562056
2002-11-01,90.8,,2002,11,November,4,Friday,86.79166666666667,87.05761593552074,-3.711558854718977,0.7769145394006749
2002-12-01,105.3,,2002,12,December,4,Sunday,86.55833333333334,89.86413656082524,-2.590194264569845,15.969162995594722
2003-01-01,78.2,,2003,1,January,1,Wednesday,86.48333333333333,88.06965401300599,-1.1378002528444895,-25.73599240265907
2003-02-01,75.5,,2003,2,February,1,Saturday,86.45833333333333,86.13586108792813,-0.395778364116095,-3.4526854219948837
2003-03-01,87.7,,2003,3,March,1,Saturday,86.40833333333335,86.3764978436315,-0.6795016987542368,16.158940397350996
2003-04-01,86.0,,2003,4,April,2,Tuesday,86.26666666666667,86.31857509845742,-1.9384264538198412,-1.9384264538198412
2003-05-01,85.5,,2003,5,May,2,Thursday,86.16666666666667,86.19264046792551,-1.384083044982698,-0.5813953488372103
2003-06-01,82.0,,2003,6,June,2,Sunday,86.20833333333333,85.54761885747543,0.6134969325153339,-4.093567251461994
2003-07-01,84.4,,2003,7,July,3,Tuesday,86.10000000000001,85.37106211017151,-1.516919486581092,2.926829268292685
2003-08-01,81.4,,2003,8,August,3,Friday,86.02499999999999,84.76012947783744,-1.0935601458080146,-3.5545023696682443
2003-09-01,84.1,,2003,9,September,3,Monday,85.91666666666667,84.65857109663168,-1.5222482435597318,3.316953316953297
2003-10-01,90.0,,2003,10,October,4,Wednesday,85.90833333333332,85.48032938945758,-0.1109877913429424,7.015457788347224
2003-11-01,90.5,,2003,11,November,4,Saturday,85.88333333333333,86.2525864064641,-0.3303964757709221,0.5555555555555536
2003-12-01,103.2,,2003,12,December,4,Monday,85.70833333333333,88.85988080546963,-1.9943019943019835,14.03314917127072
2004-01-01,78.8,,2004,1,January,1,Thursday,85.75833333333333,87.31220683539738,0.7672634271099765,-23.64341085271319
2004-02-01,75.9,,2004,2,February,1,Sunday,85.79166666666667,85.5564827068747,0.5298013245033095,-3.680203045685271
2004-03-01,89.2,,2004,3,March,1,Monday,85.91666666666667,86.11702382889399,1.710376282782211,17.52305665349143
2004-04-01,88.2,,2004,4,April,2,Thursday,86.10000000000001,86.43748170137184,2.55813953488373,-1.1210762331838595
2004-05-01,85.7,,2004,5,May,2,Saturday,86.11666666666667,86.32402297808386,0.233918128654964,-2.8344671201814053
2004-06-01,84.0,,2004,6,June,2,Tuesday,86.28333333333335,85.96648098145558,2.4390243902439046,-1.9836639439906656
2004-07-01,86.3,,2004,7,July,3,Thursday,86.44166666666666,86.01779159969318,2.25118483412321,2.7380952380952284
2004-08-01,83.6,,2004,8,August,3,Sunday,86.625,85.64582366127884,2.7027027027026973,-3.1286210892236377
2004-09-01,85.2,,2004,9,September,3,Wednesday,86.71666666666665,85.57723540569748,1.3079667063020215,1.9138755980861344
2004-10-01,90.1,,2004,10,October,4,Friday,86.72500000000001,86.27304534328248,0.1111111111111062,5.751173708920176
2004-11-01,92.5,,2004,11,November,4,Monday,86.89166666666667,87.23103836739286,2.20994475138121,2.663706992230863
2004-12-01,106.0,,2004,12,December,4,Wednesday,87.125,90.11857092625549,2.713178294573648,14.5945945945946
2005-01-01,82.2,,2005,1,January,1,Saturday,87.40833333333335,88.90032924529311,4.314720812182737,-22.45283018867924
2005-02-01,77.8,,2005,2,February,1,Tuesday,87.56666666666666,87.19258628447878,2.5032938076416267,-5.3527980535279855
2005-03-01,90.9,,2005,3,March,1,Tuesday,87.70833333333333,87.7629576253282,1.905829596412567,16.83804627249359
2005-04-01,88.5,,2005,4,April,2,Friday,87.73333333333333,87.87634875989309,0.340136054421758,-2.64026402640265
2005-05-01,87.9,,2005,5,May,2,Sunday,87.91666666666667,87.87998741221723,2.5670945157526326,-0.6779661016949046
2005-06-01,85.5,,2005,6,June,2,Wednesday,88.04166666666667,87.51383550264535,1.7857142857142794,-2.730375426621168
2005-07-01,87.7,,2005,7,July,3,Friday,88.15833333333335,87.54247619454607,1.6222479721900385,2.573099415204672
2005-08-01,86.1,,2005,8,August,3,Monday,88.36666666666667,87.32055678000052,2.9904306220095656,-1.824401368301032
2005-09-01,87.0,,2005,9,September,3,Thursday,88.51666666666667,87.27124035230813,2.1126760563380254,1.0452961672474004
2005-10-01,92.4,,2005,10,October,4,Saturday,88.70833333333333,88.06028029810687,2.5527192008879096,6.20689655172415
2005-11-01,93.7,,2005,11,November,4,Tuesday,88.80833333333334,88.92792948301351,1.2972972972973065,1.406926406926412
2005-12-01,106.9,,2005,12,December,4,Thursday,88.88333333333334,91.69286340870374,0.8490566037735903,14.087513340448243
2006-01-01,82.1,,2006,1,January,1,Sunday,88.875,90.21703826890317,-0.1216545012165504,-23.19925163704397
2006-02-01,78.8,,2006,2,February,1,Wednesday,88.95833333333333,88.46057084291806,1.285347043701801,-4.019488428745433
2006-03-01,90.9,,2006,3,March,1,Wednesday,88.95833333333333,88.83586763631527,0.0,15.355329949238584
2006-04-01,89.7,,2006,4,April,2,Saturday,89.05833333333334,88.96881107688215,1.3559322033898311,-1.320132013201325
2006-05-01,90.1,,2006,5,May,2,Monday,89.24166666666667,89.1428401419772,2.5028441410693825,0.4459308807134743
2006-06-01,87.4,,2006,6,June,2,Thursday,89.39999999999999,88.87471088936533,2.2222222222222365,-2.9966703662597016
2006-07-01,88.5,,2006,7,July,3,Saturday,89.46666666666665,88.8170630602322,0.9122006841504992,1.258581235697931
2006-08-01,87.2,,2006,8,August,3,Tuesday,89.55833333333334,88.56828412788877,1.2775842044134844,-1.4689265536723115
2006-09-01,86.8,,2006,9,September,3,Friday,89.54166666666667,88.29624041590588,-0.2298850574712685,-0.4587155963302836
2006-10-01,92.8,,2006,10,October,4,Sunday,89.57499999999999,88.98912650576652,0.4329004329004293,6.912442396313367
2006-11-01,93.9,,2006,11,November,4,Wednesday,89.59166666666668,89.74464550487936,0.2134471718249653,1.18534482758621
2006-12-01,111.5,,2006,12,December,4,Friday,89.97500000000001,93.09162311951332,4.303086997193639,18.74334398296058
2007-01-01,80.1,,2007,1,January,1,Monday,89.80833333333334,91.09291187035744,-2.436053593179055,-28.16143497757848
2007-02-01,77.9,,2007,2,February,1,Thursday,89.73333333333333,89.06323312107166,-1.1421319796954157,-2.746566791510596
2007-03-01,90.3,,2007,3,March,1,Thursday,89.68333333333334,89.2535049485991,-0.660066006600668,15.917843388960184
2007-04-01,91.3,,2007,4,April,2,Sunday,89.81666666666666,89.56835034112231,1.7837235228539416,1.107419712070867
2007-05-01,87.0,,2007,5,May,2,Tuesday,89.55833333333334,89.17321951941119,-3.440621531631516,-4.70974808324206
2007-06-01,85.2,,2007,6,June,2,Friday,89.375,88.56195497796331,-2.517162471395884,-2.0689655172413723
2007-07-01,87.2,,2007,7,July,3,Sunday,89.26666666666667,88.35242344289203,-1.4689265536723115,2.3474178403755763
2007-08-01,85.9,,2007,8,August,3,Wednesday,89.15833333333335,87.97512752860095,-1.490825688073394,-1.490825688073394
2007-09-01,87.1,,2007,9,September,3,Saturday,89.18333333333334,87.84049252420081,0.3456221198156584,1.3969732246798428
2007-10-01,92.6,,2007,10,October,4,Monday,89.16666666666667,88.57272444355453,-0.2155172413793149,6.3145809414466125
2007-11-01,92.8,,2007,11,November,4,Thursday,89.075,89.22307452916154,-1.1714589989350488,0.2159827213823018
2007-12-01,105.2,,2007,12,December,4,Saturday,88.55,91.68106306313668,-5.650224215246635,13.362068965517238
2008-01-01,83.3,,2008,1,January,1,Tuesday,88.81666666666666,90.39166874573104,3.995006242197263,-20.817490494296585
2008-02-01,80.0,,2008,2,February,1,Friday,88.99166666666667,88.79295047715704,2.695763799743256,-3.961584633853543
2008-03-01,91.1,,2008,3,March,1,Saturday,89.05833333333334,89.14788117297903,0.8859357696566983,13.874999999999991
2008-04-01,89.8,,2008,4,April,2,Tuesday,88.93333333333334,89.24820714636687,-1.642935377875132,-1.427003293084517
2008-05-01,90.2,,2008,5,May,2,Thursday,89.2,89.39463681615658,3.67816091954023,0.4454342984409942
2008-06-01,86.7,,2008,6,June,2,Sunday,89.32499999999999,88.98007730597865,1.760563380281699,-3.880266075388028
2008-07-01,89.0,,2008,7,July,3,Tuesday,89.47500000000001,88.98314233582809,2.064220183486243,2.6528258362168438
2008-08-01,88.4,,2008,8,August,3,Friday,89.68333333333334,88.89342813031607,2.9103608847497187,-0.6741573033707815
2008-09-01,90.2,,2008,9,September,3,Monday,89.94166666666666,89.09443918719052,3.559127439724463,2.036199095022617
2008-10-01,94.1,,2008,10,October,4,Wednesday,90.06666666666666,89.86452546608427,1.6198704103671746,4.32372505543237
2008-11-01,94.0,,2008,11,November,4,Saturday,90.16666666666669,90.50075231745592,1.2931034482758674,-0.1062699256110466
2008-12-01,105.8,,2008,12,December,4,Monday,90.21666666666664,92.854482730155,0.5703422053231932,12.553191489361692
2009-01-01,80.5,,2009,1,January,1,Thursday,89.98333333333333,90.95379307936192,-3.361344537815125,-23.913043478260864
2009-02-01,76.4,,2009,2,February,1,Sunday,89.68333333333334,88.71474799022933,-4.499999999999993,-5.093167701863344
2009-03-01,88.4,,2009,3,March,1,Sunday,89.45833333333333,88.66632522250174,-2.963776070252455,15.706806282722518
2009-04-01,89.3,,2009,4,April,2,Wednesday,89.41666666666667,88.76381364980917,-0.5567928730512262,1.0180995475113086
2009-05-01,87.4,,2009,5,May,2,Friday,89.18333333333334,88.55399616522314,-3.104212860310418,-2.127659574468077
2009-06-01,83.2,,2009,6,June,2,Monday,88.89166666666667,87.7303044474965,-4.036908881199541,-4.805491990846688
2009-07-01,86.1,,2009,7,July,3,Wednesday,88.64999999999999,87.47948837865087,-3.2584269662921383,3.485576923076916
2009-08-01,84.0,,2009,8,August,3,Saturday,88.28333333333335,86.94418247424304,-4.977375565610864,-2.439024390243893
2009-09-01,85.3,,2009,9,September,3,Tuesday,87.875,86.69123132435949,-5.432372505543248,1.547619047619042
2009-10-01,90.9,,2009,10,October,4,Thursday,87.60833333333333,87.33873419753495,-3.400637619553659,6.565064478311844
2009-11-01,90.6,,2009,11,November,4,Sunday,87.325,87.84046739791418,-3.617021276595756,-0.3300330033003451
2009-12-01,104.1,,2009,12,December,4,Tuesday,87.18333333333334,90.34193395208123,-1.606805293005675,14.900662251655628
2010-01-01,79.7,,2010,1,January,1,Friday,87.11666666666666,88.70471334406874,-0.9937888198757738,-23.439000960614788
2010-02-01,77.6,,2010,2,February,1,Monday,87.21666666666665,86.9962959065197,1.5706806282722363,-2.634880803011308
2010-03-01,90.5,,2010,3,March,1,Monday,87.39166666666667,87.53532730551667,2.37556561085972,16.623711340206192
2010-04-01,89.2,,2010,4,April,2,Thursday,87.38333333333334,87.79143079697565,-0.111982082866735,-1.436464088397782
2010-05-01,89.6,,2010,5,May,2,Saturday,87.56666666666666,88.06967221282554,2.517162471395862,0.4484304932735439
2010-06-01,87.1,,2010,6,June,2,Tuesday,87.89166666666667,87.92049187239084,4.6875,-2.79017857142857
2010-07-01,90.1,,2010,7,July,3,Thursday,88.22500000000001,88.25580081509993,4.645760743321725,3.4443168771526977
2010-08-01,87.1,,2010,8,August,3,Sunday,88.48333333333333,88.07798530508457,3.690476190476178,-3.3296337402885734
2010-09-01,87.8,,2010,9,September,3,Wednesday,88.69166666666666,88.03521833507156,2.930832356389224,0.8036739380022917
2010-10-01,93.2,,2010,10,October,4,Friday,88.88333333333333,88.82980012967595,2.53025302530252,6.150341685649208
2010-11-01,93.1,,2010,11,November,4,Monday,89.09166666666665,89.48675395587965,2.759381898454749,-0.1072961373390635
2010-12-01,105.8,,2010,12,December,4,Wednesday,89.23333333333333,91.99648411651356,1.6330451488953068,13.641245972073037
2011-01-01,83.0,,2011,1,January,1,Saturday,89.50833333333333,90.61240963704994,4.140526976160608,-21.550094517958406
2011-02-01,81.2,,2011,2,February,1,Tuesday,89.80833333333332,89.16434661596533,4.6391752577319645,-2.168674698795181
2011-03-01,91.8,,2011,3,March,1,Tuesday,89.91666666666667,89.56983175197067,1.436464088397793,13.054187192118215
2011-04-01,92.2,,2011,4,April,2,Friday,90.16666666666669,89.97447302089826,3.363228699551568,0.4357298474945592
2011-05-01,89.5,,2011,5,May,2,Sunday,90.15833333333336,89.9014771715293,-0.1116071428571396,-2.9284164859002204
2011-06-01,89.4,,2011,6,June,2,Wednesday,90.35,89.82432683744787,2.640642939150406,-0.1117318435754133
2011-07-01,92.0,,2011,7,July,3,Friday,90.50833333333334,90.15904578553284,2.108768035516096,2.9082774049217
2011-08-01,89.4,,2011,8,August,3,Monday,90.7,90.04226951083547,2.640642939150406,-2.826086956521734
2011-09-01,90.2,,2011,9,September,3,Thursday,90.9,90.0665357399377,2.733485193621865,0.8948545861297452
2011-10-01,96.3,,2011,10,October,4,Saturday,91.15833333333336,91.02553024148575,3.3261802575107247,6.762749445676275
2011-11-01,95.6,,2011,11,November,4,Tuesday,91.36666666666667,91.72929481971872,2.685284640171859,-0.7268951194184914
2011-12-01,107.8,,2011,12,December,4,Thursday,91.53333333333336,94.20171100130044,1.8903591682419616,12.761506276150625
2012-01-01,84.0,,2012,1,January,1,Sunday,91.61666666666667,92.63221700110036,1.2048192771084263,-22.077922077922075
2012-02-01,81.8,,2012,2,February,1,Wednesday,91.66666666666669,90.96572207785417,0.738916256157629,-2.619047619047621
2012-03-01,95.3,,2012,3,March,1,Thursday,91.95833333333331,91.6325340658766,3.8126361655773433,16.50366748166259
2012-04-01,94.2,,2012,4,April,2,Sunday,92.125,92.0275288249725,2.169197396963129,-1.1542497376705096
2012-05-01,93.6,,2012,5,May,2,Tuesday,92.46666666666664,92.26944746728444,4.58100558659218,-0.6369426751592466
2012-06-01,92.1,,2012,6,June,2,Friday,92.69166666666666,92.24337862616376,3.0201342281878985,-1.602564102564108
2012-07-01,93.0,,2012,7,July,3,Sunday,92.775,92.35978191444624,1.0869565217391353,0.9771986970684045
2012-08-01,90.6,,2012,8,August,3,Wednesday,92.875,92.08904623530069,1.342281879194629,-2.580645161290329
2012-09-01,92.2,,2012,9,September,3,Saturday,93.04166666666664,92.1061160452544,2.217294900221733,1.7660044150110463
2012-10-01,97.3,,2012,10,October,4,Monday,93.125,92.90517511521526,1.0384215991692702,5.531453362255956
2012-11-01,97.2,,2012,11,November,4,Thursday,93.25833333333333,93.56591740518216,1.673640167364021,-0.1027749229188024
2012-12-01,109.6,,2012,12,December,4,Saturday,93.40833333333332,96.03269934284644,1.6697588126159513,12.757201646090532
2013-01-01,86.8,,2013,1,January,1,Tuesday,93.64166666666664,94.6122840593316,3.333333333333321,-20.8029197080292
2013-02-01,83.2,,2013,2,February,1,Friday,93.75833333333333,92.85654805020364,1.7114914425427896,-4.147465437788012
2013-03-01,96.8,,2013,3,March,1,Friday,93.88333333333333,93.46323296555693,1.5739769150052485,16.346153846153832
2013-04-01,95.1,,2013,4,April,2,Monday,93.95833333333331,93.71504327854817,0.9554140127388422,-1.7561983471074405
2013-05-01,95.6,,2013,5,May,2,Wednesday,94.125,94.00503662031,2.136752136752129,0.525762355415349
2013-06-01,93.0,,2013,6,June,2,Saturday,94.2,93.85041560180076,0.9771986970684045,-2.7196652719665204
